kout,k12,k13,k21,k31,A1,B1,n,A2,B2,n2
0.001362922,0.003547058,0.003568621,0.002155972,0.000226636,4.23E-05,0.003648,0.8283,0.0002319,0.03143,0.7843
0.001915235,0.003033239,0.002858834,0.002331952,0.00021975,3.91E-05,0.00367,0.842,0.000136,0.04386,0.889
0.002458212,0.003174139,0.00441966,0.002142844,0.00023728,3.67E-05,0.003677,0.8528,0.0001744,0.05411,0.8761
0.001751857,0.003252122,0.003556388,0.003138844,0.000189507,3.51E-05,0.003561,0.8591,0.0001507,0.06278,0.9046
0.001809126,0.003325614,0.00342698,0.003020459,0.000238253,3.20E-05,0.003476,0.8757,0.0004242,0.05928,0.7696
0.002698388,0.002850288,0.003673777,0.001755077,0.000235104,3.59E-05,0.003458,0.849,0.0001329,0.03221,0.8623
0.002191542,0.004085454,0.005630365,0.003719276,0.000222608,3.80E-05,0.003502,0.8437,9.28E-05,0.03244,0.9186
0.002073729,0.004116446,0.002780668,0.002903616,0.000272697,3.72E-05,0.003489,0.8437,0.0001831,0.03971,0.859
0.002461302,0.002715011,0.004263863,0.002623621,0.00027229,3.75E-05,0.003606,0.847,0.0001281,0.03767,0.894
0.001675991,0.002840087,0.003321501,0.00173179,0.000207327,3.63E-05,0.003598,0.8534,0.0002247,0.04825,0.8367
0.002451493,0.002437424,0.003897532,0.002854381,0.000268487,3.68E-05,0.003455,0.8469,0.0002375,0.04064,0.8019
0.00185682,0.003278549,0.003526122,0.002091181,0.000211153,3.98E-05,0.003613,0.8371,9.19E-05,0.02767,0.8973
0.001979504,0.002789931,0.003601672,0.002869012,0.000197817,3.45E-05,0.003531,0.861,0.0001288,0.03202,0.8518
0.002086437,0.003004284,0.003645761,0.004113476,0.000234851,4.44E-05,0.003757,0.8241,9.24E-05,0.02984,0.9096
